Company Name,Job Opening Title,Description,Skills Needed,Level,Hiring Manager,Company Review,Estimated Salary (INR),Job Location,Employment Type,Experience Required,Education Required,Application Deadline,Job Posting Date,Company Size,Remote Option,Contact Information
Bharti Airtel,Web Developer,"As a Web Developer, you will be responsible for creating and maintaining websites and web applications that are functional, user-friendly, and visually appealing. Your role involves working with various technologies and programming languages to build responsive and interactive web solutions that meet user needs and business objectives.

    You will be involved in the entire web development process, including designing and implementing user interfaces, developing backend functionality, and ensuring cross-browser and cross-device compatibility. Your responsibilities will include writing clean, efficient code using technologies such as HTML, CSS, JavaScript, and various frameworks and libraries.

    Additionally, you will collaborate with designers and other developers to translate design concepts into functional web pages, optimize website performance, and troubleshoot and resolve issues. You will also work on integrating web applications with backend services, APIs, and databases to create cohesive and dynamic web experiences.

    Your role will require strong problem-solving skills, creativity, and attention to detail. Familiarity with version control systems (such as Git), content management systems (such as WordPress), and responsive design principles will be important for effectively managing your work and delivering high-quality web solutions.

    By leveraging your skills and expertise, you will play a key role in developing engaging and effective web applications that enhance user experience and contribute to the success of the organization’s online presence.","React, JavaScript, CSS, HTML",Senior,Anjali Verma,4.9762756185758485,550000,Chennai,Part-Time,Senior,MBA,2024-02-18,2024-02-28,Large,Yes,advaith.bora@bhartiairtel.com
Tata Consultancy Services,Data Engineer,"As a Data Engineer, you will be responsible for designing, building, and maintaining scalable data pipelines that support the collection, storage, and processing of large volumes of data. Your primary focus will be on creating robust systems that facilitate the seamless flow of data from various sources to data warehouses and analytical platforms. This involves developing ETL (Extract, Transform, Load) processes, ensuring data quality and integrity, and optimizing data storage solutions.

    In this role, you will work closely with data scientists and analysts to understand their data requirements and provide them with clean, reliable, and accessible data. You will also be involved in the implementation and management of database systems, including relational databases like PostgreSQL or MySQL, as well as NoSQL databases such as MongoDB or Cassandra. Ensuring the performance and security of these databases will be a key part of your responsibilities.

    Additionally, you will be tasked with monitoring and troubleshooting data pipelines to resolve issues and maintain data flow efficiency. This includes identifying bottlenecks, optimizing query performance, and implementing best practices for data management. You will also work on integrating data from diverse sources, including APIs, third-party services, and internal systems, to create a unified and comprehensive data environment.

    Your role will require proficiency in programming languages such as Python, Java, or Scala, as well as experience with big data technologies like Apache Hadoop, Apache Spark, or Kafka. Familiarity with cloud-based data platforms, such as AWS Redshift or Google BigQuery, will also be beneficial. A strong understanding of data modeling, schema design, and data warehousing concepts is essential for success in this role.

    As a Data Engineer, you will be instrumental in enabling data-driven decision-making within the organization by providing high-quality, accessible data solutions that support business intelligence and analytics efforts.","Data Warehousing, ETL, Big Data, SQL, Python",Entry-Level,Kavita Joshi,4.452762426341799,970000,Pune,Part-Time,Entry-Level,BTech in CS,2024-05-04,2024-04-18,Small,Yes,gabriel.verma@tataconsultancyservices.com
Tata Consultancy Services,Data Engineer,"As a Data Engineer, you will be responsible for designing, building, and maintaining scalable data pipelines that support the collection, storage, and processing of large volumes of data. Your primary focus will be on creating robust systems that facilitate the seamless flow of data from various sources to data warehouses and analytical platforms. This involves developing ETL (Extract, Transform, Load) processes, ensuring data quality and integrity, and optimizing data storage solutions.

    In this role, you will work closely with data scientists and analysts to understand their data requirements and provide them with clean, reliable, and accessible data. You will also be involved in the implementation and management of database systems, including relational databases like PostgreSQL or MySQL, as well as NoSQL databases such as MongoDB or Cassandra. Ensuring the performance and security of these databases will be a key part of your responsibilities.

    Additionally, you will be tasked with monitoring and troubleshooting data pipelines to resolve issues and maintain data flow efficiency. This includes identifying bottlenecks, optimizing query performance, and implementing best practices for data management. You will also work on integrating data from diverse sources, including APIs, third-party services, and internal systems, to create a unified and comprehensive data environment.

    Your role will require proficiency in programming languages such as Python, Java, or Scala, as well as experience with big data technologies like Apache Hadoop, Apache Spark, or Kafka. Familiarity with cloud-based data platforms, such as AWS Redshift or Google BigQuery, will also be beneficial. A strong understanding of data modeling, schema design, and data warehousing concepts is essential for success in this role.

    As a Data Engineer, you will be instrumental in enabling data-driven decision-making within the organization by providing high-quality, accessible data solutions that support business intelligence and analytics efforts.","Data Warehousing, ETL, Python, Big Data",Mid-Level,Ravi Patel,3.924534588389381,948000,Chennai,Full-Time,Mid-Level,MBA,2024-01-06,2024-06-27,Large,Yes,aditya.kohli@tataconsultancyservices.com
Mahindra & Mahindra,UX/UI Designer,"As a UX/UI Designer, you will be focused on creating exceptional user experiences and visually appealing interfaces for digital products. Your role involves conducting user research to gain insights into user needs, behaviors, and pain points, and using this information to design intuitive and engaging user interfaces.

    You will be responsible for creating wireframes, prototypes, and high-fidelity designs that align with user requirements and business objectives. This includes designing user flows, interaction patterns, and visual elements that enhance the overall usability and aesthetic appeal of applications. You will work closely with product managers, developers, and other stakeholders to ensure that design solutions are implemented effectively and meet user expectations.

    Additionally, you will conduct usability testing to gather feedback on design prototypes and iterate on designs based on user input and testing results. Your role will require a strong understanding of user-centered design principles, as well as proficiency in design tools such as Adobe XD, Sketch, or Figma.

    Collaboration with development teams will be crucial to ensure that design specifications are accurately translated into functional products. You will also stay up-to-date with design trends and best practices, continuously improving your skills and applying new techniques to enhance user experiences.

    Your ability to balance user needs with design principles and technical constraints will be key in delivering high-quality design solutions that drive user satisfaction and engagement. As a UX/UI Designer, you will play a vital role in shaping the look and feel of digital products and ensuring a seamless and enjoyable user experience.","Adobe XD, Prototyping, User Research",Entry-Level,Kavita Joshi,3.080174758381164,859750,Kolkata,Full-Time,Entry-Level,MBA,2024-02-16,2024-03-11,Large,No,hemani.babu@mahindra&mahindra.com
Mahindra & Mahindra,Project Manager,"As a Project Manager, you will be responsible for planning, executing, and closing projects within the organization. Your role involves coordinating with cross-functional teams, managing project timelines and budgets, and ensuring that project deliverables meet the required quality standards.

    You will lead the project from initiation to completion, which includes defining project scope, creating detailed project plans, and setting milestones. Your responsibilities will involve identifying and managing project risks, allocating resources, and ensuring that all project stakeholders are kept informed of progress and any changes to the project plan.

    Additionally, you will be responsible for monitoring project performance, managing project documentation, and conducting project reviews to identify lessons learned and areas for improvement. You will also work on implementing project management best practices and methodologies, such as Agile or Waterfall, to ensure efficient and effective project delivery.

    Your role will require strong leadership, communication, and organizational skills, as well as the ability to manage multiple projects simultaneously. Familiarity with project management tools, such as Microsoft Project, JIRA, or Trello, will be essential for tracking project progress and managing tasks.

    By effectively managing projects, you will play a crucial role in ensuring that the organization’s goals are achieved on time, within budget, and to the satisfaction of stakeholders.","Stakeholder Management, Risk Management, Agile",Senior,Anjali Verma,3.415591398492495,1529000,Chandigarh,Full-Time,Senior,MBA,2024-01-02,2024-05-02,Large,No,nidra.batra@mahindra&mahindra.com
Tata Consultancy Services,Business Analyst,"As a Business Analyst, you will act as a liaison between business stakeholders and technical teams, ensuring that business requirements are effectively translated into actionable solutions. Your role will involve gathering and analyzing business needs, creating detailed documentation, and developing strategies to improve processes and drive business growth.

    You will be responsible for conducting in-depth analyses of business operations and identifying opportunities for improvement. This includes gathering requirements through interviews, surveys, and workshops, and creating comprehensive reports and dashboards that provide insights into business performance. You will work closely with stakeholders to understand their needs, develop functional specifications, and ensure that proposed solutions align with business objectives.

    Additionally, you will be involved in evaluating existing systems and processes to identify inefficiencies and recommend enhancements. Your role will require collaboration with development teams to ensure that technical solutions meet business requirements and deliver value. This may involve creating user stories, defining acceptance criteria, and participating in testing and validation processes.

    You will also play a key role in change management, helping to communicate and implement process improvements and new systems within the organization. This includes developing training materials, facilitating workshops, and providing support to end-users as they adapt to new tools and processes.

    Strong analytical skills, attention to detail, and the ability to communicate complex concepts in a clear and concise manner will be essential for success in this role. Proficiency in tools such as Microsoft Excel, Power BI, or Tableau for data analysis and visualization, as well as experience with project management methodologies, will be valuable assets in your role as a Business Analyst.

    By leveraging your expertise, you will contribute to the organization’s success by ensuring that business needs are met through effective solutions and continuous improvement of processes.","Excel, Business Intelligence, Reporting, Requirements Gathering",Entry-Level,Siddharth Jain,3.533453223277165,722000,Mumbai,Contract,Entry-Level,BTech in IT,2024-07-13,2024-04-23,Small,No,abeer.ramachandran@tataconsultancyservices.com
HCL Technologies,Web Developer,"As a Web Developer, you will be responsible for creating and maintaining websites and web applications that are functional, user-friendly, and visually appealing. Your role involves working with various technologies and programming languages to build responsive and interactive web solutions that meet user needs and business objectives.

    You will be involved in the entire web development process, including designing and implementing user interfaces, developing backend functionality, and ensuring cross-browser and cross-device compatibility. Your responsibilities will include writing clean, efficient code using technologies such as HTML, CSS, JavaScript, and various frameworks and libraries.

    Additionally, you will collaborate with designers and other developers to translate design concepts into functional web pages, optimize website performance, and troubleshoot and resolve issues. You will also work on integrating web applications with backend services, APIs, and databases to create cohesive and dynamic web experiences.

    Your role will require strong problem-solving skills, creativity, and attention to detail. Familiarity with version control systems (such as Git), content management systems (such as WordPress), and responsive design principles will be important for effectively managing your work and delivering high-quality web solutions.

    By leveraging your skills and expertise, you will play a key role in developing engaging and effective web applications that enhance user experience and contribute to the success of the organization’s online presence.","CSS, React, JavaScript",Mid-Level,Siddharth Jain,4.010048820945901,625000,Indore,Part-Time,Mid-Level,MBA,2024-07-08,2024-05-07,Large,No,shivani.pathak@hcltechnologies.com
ICICI Bank,Software Engineer,"As a Software Engineer, you will be responsible for designing, developing, and maintaining high-quality software applications that meet user needs and business requirements. Your role will involve working throughout the software development lifecycle, from requirements gathering and system design to coding, testing, and deployment.

    You will collaborate with cross-functional teams, including product managers, UX/UI designers, and quality assurance professionals, to develop software solutions that are efficient, reliable, and scalable. Your responsibilities will include writing clean, maintainable code using programming languages such as Java, C++, Python, or JavaScript, and applying software engineering best practices to ensure the robustness of your applications.

    Additionally, you will be involved in the development of new features, bug fixing, and performance optimization to enhance the functionality and user experience of software products. This includes participating in code reviews, debugging issues, and implementing automated tests to ensure the quality and stability of your code.

    You will also work on integrating software with various systems and services, such as APIs, databases, and third-party libraries, to create cohesive and efficient solutions. Familiarity with development frameworks, version control systems (such as Git), and agile methodologies will be important for effectively managing your work and delivering results in a collaborative environment.

    Your role will require strong problem-solving skills, creativity, and the ability to adapt to new technologies and programming paradigms. A commitment to continuous learning and professional development will be crucial in staying up-to-date with industry trends and advancements in software engineering.

    By contributing your skills and expertise, you will play a key role in delivering high-quality software products that drive the success of the organization and meet the needs of its users.","Python, Algorithms, Software Development",Entry-Level,Siddharth Jain,3.6492764416022583,1356000,Chennai,Full-Time,Entry-Level,BTech in CS,2024-07-05,2024-02-04,Large,No,chaitaly.bawa@icicibank.com
ICICI Bank,Machine Learning Engineer,"As a Machine Learning Engineer, you will be responsible for designing, developing, and deploying machine learning models and algorithms that drive data-driven insights and automation. Your role involves working with large datasets to build predictive models, optimize algorithms, and apply advanced machine learning techniques to solve complex problems.

    You will collaborate with data scientists and analysts to understand their requirements and develop machine learning solutions that meet their needs. This includes preprocessing and analyzing data, selecting appropriate machine learning algorithms, and fine-tuning models to achieve optimal performance.

    Additionally, you will be involved in implementing and integrating machine learning models into production systems, ensuring that they operate efficiently and effectively in real-world environments. Your responsibilities will also include monitoring model performance, conducting experiments to improve accuracy, and addressing issues related to model drift or degradation.

    Your role will require strong programming skills in languages such as Python or R, as well as experience with machine learning frameworks and libraries, such as TensorFlow, PyTorch, or scikit-learn. A solid understanding of statistical analysis, feature engineering, and model evaluation techniques will be essential for success in this role.

    By leveraging your expertise in machine learning, you will contribute to the organization’s ability to harness the power of data and drive innovation through advanced analytics and automation. Your work will play a critical role in enabling data-driven decision-making and creating intelligent solutions that deliver business value.","Deep Learning, Python, Keras",Senior,Geeta Singh,3.519014408895431,1060500,Gurgaon,Part-Time,Senior,BTech in CS,2024-03-17,2024-02-19,Small,Yes,gopal.mohan@icicibank.com
Tata Consultancy Services,Artificial Intelligence Engineer,"As an Artificial Intelligence Engineer, you will be responsible for developing and deploying AI models and solutions that drive innovation and automation within the organization. Your role involves working with various AI techniques, such as natural language processing (NLP), computer vision, and neural networks, to create intelligent systems that solve complex problems.

    You will collaborate with data scientists, software engineers, and other stakeholders to design and implement AI models that meet business needs. This includes collecting and preprocessing data, selecting appropriate AI algorithms, and fine-tuning models to achieve high performance. Your work will involve applying advanced techniques such as deep learning, reinforcement learning, and generative models to create AI-driven applications.

    Additionally, you will be responsible for integrating AI models into production environments, ensuring that they operate efficiently and effectively. This includes monitoring model performance, addressing issues related to model drift, and continuously improving models based on feedback and new data. You will also work on developing AI-driven tools and applications that enhance business processes, improve customer experiences, and drive innovation.

    Your role will require strong programming skills in languages such as Python or Java, as well as experience with AI frameworks and libraries, such as TensorFlow, Keras, or OpenAI. A deep understanding of AI concepts, including machine learning, deep learning, and neural networks, will be essential for success in this role.

    By leveraging your expertise in artificial intelligence, you will play a key role in driving the organization’s AI strategy and ensuring that AI solutions deliver measurable business value. Your work will contribute to the organization’s ability to stay competitive in a rapidly evolving technological landscape.","NLP, Neural Networks, Computer Vision",Entry-Level,Rajesh Kumar,4.311479444131623,1692000,Hyderabad,Contract,Entry-Level,MBA,2024-03-27,2024-06-13,Small,Yes,sudiksha.sachdeva@tataconsultancyservices.com
Larsen & Toubro,Artificial Intelligence Engineer,"As an Artificial Intelligence Engineer, you will be responsible for developing and deploying AI models and solutions that drive innovation and automation within the organization. Your role involves working with various AI techniques, such as natural language processing (NLP), computer vision, and neural networks, to create intelligent systems that solve complex problems.

    You will collaborate with data scientists, software engineers, and other stakeholders to design and implement AI models that meet business needs. This includes collecting and preprocessing data, selecting appropriate AI algorithms, and fine-tuning models to achieve high performance. Your work will involve applying advanced techniques such as deep learning, reinforcement learning, and generative models to create AI-driven applications.

    Additionally, you will be responsible for integrating AI models into production environments, ensuring that they operate efficiently and effectively. This includes monitoring model performance, addressing issues related to model drift, and continuously improving models based on feedback and new data. You will also work on developing AI-driven tools and applications that enhance business processes, improve customer experiences, and drive innovation.

    Your role will require strong programming skills in languages such as Python or Java, as well as experience with AI frameworks and libraries, such as TensorFlow, Keras, or OpenAI. A deep understanding of AI concepts, including machine learning, deep learning, and neural networks, will be essential for success in this role.

    By leveraging your expertise in artificial intelligence, you will play a key role in driving the organization’s AI strategy and ensuring that AI solutions deliver measurable business value. Your work will contribute to the organization’s ability to stay competitive in a rapidly evolving technological landscape.","Python, AI, NLP, Computer Vision",Senior,Anjali Verma,4.191225648792285,1239000,Vadodara,Full-Time,Senior,BTech in IT,2024-07-17,2024-08-17,Large,No,anvi.sachdeva@larsen&toubro.com
ICICI Bank,Web Developer,"As a Web Developer, you will be responsible for creating and maintaining websites and web applications that are functional, user-friendly, and visually appealing. Your role involves working with various technologies and programming languages to build responsive and interactive web solutions that meet user needs and business objectives.

    You will be involved in the entire web development process, including designing and implementing user interfaces, developing backend functionality, and ensuring cross-browser and cross-device compatibility. Your responsibilities will include writing clean, efficient code using technologies such as HTML, CSS, JavaScript, and various frameworks and libraries.

    Additionally, you will collaborate with designers and other developers to translate design concepts into functional web pages, optimize website performance, and troubleshoot and resolve issues. You will also work on integrating web applications with backend services, APIs, and databases to create cohesive and dynamic web experiences.

    Your role will require strong problem-solving skills, creativity, and attention to detail. Familiarity with version control systems (such as Git), content management systems (such as WordPress), and responsive design principles will be important for effectively managing your work and delivering high-quality web solutions.

    By leveraging your skills and expertise, you will play a key role in developing engaging and effective web applications that enhance user experience and contribute to the success of the organization’s online presence.","React, CSS, JavaScript, Web Design",Mid-Level,Amit Sharma,4.779615350562331,1020000,Gurgaon,Part-Time,Mid-Level,MBA,2024-01-01,2024-02-01,Medium,Yes,triya.sha@icicibank.com
ICICI Bank,Data Engineer,"As a Data Engineer, you will be responsible for designing, building, and maintaining scalable data pipelines that support the collection, storage, and processing of large volumes of data. Your primary focus will be on creating robust systems that facilitate the seamless flow of data from various sources to data warehouses and analytical platforms. This involves developing ETL (Extract, Transform, Load) processes, ensuring data quality and integrity, and optimizing data storage solutions.

    In this role, you will work closely with data scientists and analysts to understand their data requirements and provide them with clean, reliable, and accessible data. You will also be involved in the implementation and management of database systems, including relational databases like PostgreSQL or MySQL, as well as NoSQL databases such as MongoDB or Cassandra. Ensuring the performance and security of these databases will be a key part of your responsibilities.

    Additionally, you will be tasked with monitoring and troubleshooting data pipelines to resolve issues and maintain data flow efficiency. This includes identifying bottlenecks, optimizing query performance, and implementing best practices for data management. You will also work on integrating data from diverse sources, including APIs, third-party services, and internal systems, to create a unified and comprehensive data environment.

    Your role will require proficiency in programming languages such as Python, Java, or Scala, as well as experience with big data technologies like Apache Hadoop, Apache Spark, or Kafka. Familiarity with cloud-based data platforms, such as AWS Redshift or Google BigQuery, will also be beneficial. A strong understanding of data modeling, schema design, and data warehousing concepts is essential for success in this role.

    As a Data Engineer, you will be instrumental in enabling data-driven decision-making within the organization by providing high-quality, accessible data solutions that support business intelligence and analytics efforts.","SQL, Python, ETL, Data Warehousing",Entry-Level,Manoj Kumar,4.306695650219256,1144000,Pune,Full-Time,Entry-Level,BTech in CS,2024-02-09,2024-07-27,Medium,No,aayush.kapoor@icicibank.com
Larsen & Toubro,UX/UI Designer,"As a UX/UI Designer, you will be focused on creating exceptional user experiences and visually appealing interfaces for digital products. Your role involves conducting user research to gain insights into user needs, behaviors, and pain points, and using this information to design intuitive and engaging user interfaces.

    You will be responsible for creating wireframes, prototypes, and high-fidelity designs that align with user requirements and business objectives. This includes designing user flows, interaction patterns, and visual elements that enhance the overall usability and aesthetic appeal of applications. You will work closely with product managers, developers, and other stakeholders to ensure that design solutions are implemented effectively and meet user expectations.

    Additionally, you will conduct usability testing to gather feedback on design prototypes and iterate on designs based on user input and testing results. Your role will require a strong understanding of user-centered design principles, as well as proficiency in design tools such as Adobe XD, Sketch, or Figma.

    Collaboration with development teams will be crucial to ensure that design specifications are accurately translated into functional products. You will also stay up-to-date with design trends and best practices, continuously improving your skills and applying new techniques to enhance user experiences.

    Your ability to balance user needs with design principles and technical constraints will be key in delivering high-quality design solutions that drive user satisfaction and engagement. As a UX/UI Designer, you will play a vital role in shaping the look and feel of digital products and ensuring a seamless and enjoyable user experience.","Wireframing, User Research, Prototyping",Mid-Level,Vikram Singh,4.188266476594769,715000,Kolkata,Contract,Mid-Level,MBA,2024-07-27,2024-05-23,Small,Yes,arjun.suresh@larsen&toubro.com
Tata Consultancy Services,Web Developer,"As a Web Developer, you will be responsible for creating and maintaining websites and web applications that are functional, user-friendly, and visually appealing. Your role involves working with various technologies and programming languages to build responsive and interactive web solutions that meet user needs and business objectives.

    You will be involved in the entire web development process, including designing and implementing user interfaces, developing backend functionality, and ensuring cross-browser and cross-device compatibility. Your responsibilities will include writing clean, efficient code using technologies such as HTML, CSS, JavaScript, and various frameworks and libraries.

    Additionally, you will collaborate with designers and other developers to translate design concepts into functional web pages, optimize website performance, and troubleshoot and resolve issues. You will also work on integrating web applications with backend services, APIs, and databases to create cohesive and dynamic web experiences.

    Your role will require strong problem-solving skills, creativity, and attention to detail. Familiarity with version control systems (such as Git), content management systems (such as WordPress), and responsive design principles will be important for effectively managing your work and delivering high-quality web solutions.

    By leveraging your skills and expertise, you will play a key role in developing engaging and effective web applications that enhance user experience and contribute to the success of the organization’s online presence.","Web Design, CSS, React, HTML",Senior,Neha Mehta,3.748527908146355,495000,Bengaluru,Part-Time,Senior,BTech in IT,2024-04-22,2024-01-06,Medium,Yes,qabil.pillai@tataconsultancyservices.com
Adani Group,Database Administrator,"As a Database Administrator, you will be responsible for managing and maintaining database systems to ensure their performance, security, and availability. Your role involves configuring and optimizing database servers, performing regular backups and recovery operations, and monitoring database performance to identify and resolve issues.

    You will work on designing and implementing database architectures, including schema design, indexing strategies, and partitioning techniques, to support efficient data storage and retrieval. Your responsibilities will also include managing database security, including user access controls, encryption, and compliance with data protection regulations.

    Additionally, you will be involved in troubleshooting and resolving database-related issues, such as performance bottlenecks, data corruption, or connectivity problems. This includes performing routine maintenance tasks, such as applying patches and updates, and ensuring that databases are running smoothly and securely.

    Your role will require proficiency in database management systems, such as Oracle, SQL Server, MySQL, or PostgreSQL, as well as experience with backup and recovery tools, performance tuning, and query optimization. Strong problem-solving skills and a solid understanding of database principles and best practices will be essential for success in this role.

    By ensuring the reliability, security, and performance of database systems, you will play a critical role in supporting the organization’s data management needs and enabling effective data-driven decision-making.","Security, SQL, Performance Tuning, Database Management, Backup and Recovery",Mid-Level,Amit Sharma,4.0822586058952925,769250,Pune,Contract,Mid-Level,BTech in IT,2024-01-18,2024-01-22,Medium,Yes,sudiksha.tella@adanigroup.com
Bharti Airtel,Product Manager,"As a Product Manager, you will be responsible for overseeing the development, launch, and lifecycle of products within the organization. Your role involves coordinating with various teams, including engineering, marketing, and sales, to ensure that products are delivered successfully and meet market demands.

    You will lead the product development process from concept to launch, which includes conducting market research to identify customer needs and industry trends, defining product requirements, and creating detailed product roadmaps. Your responsibilities will involve working closely with stakeholders to prioritize features, set milestones, and manage the product backlog to ensure that development efforts align with business goals.

    Additionally, you will be responsible for monitoring product performance, gathering user feedback, and analyzing market data to make informed decisions about product enhancements and improvements. You will collaborate with marketing teams to develop go-to-market strategies, create product messaging, and support promotional activities to drive product adoption and growth.

    Your role will also include managing the product lifecycle, which involves overseeing product releases, coordinating with support teams to address customer issues, and making strategic decisions about product updates and discontinuation. Strong project management skills, strategic thinking, and the ability to communicate effectively with both technical and non-technical stakeholders will be essential for success in this role.

    You will be expected to stay up-to-date with industry trends and competitive landscape, leveraging your knowledge to drive innovation and ensure that products remain relevant and competitive in the market. Your role as a Product Manager will be instrumental in delivering high-impact products that contribute to the organization’s success and meet the needs of its customers.","Market Research, Project Management, Strategic Planning, Cross-Functional Collaboration",Entry-Level,Pooja Reddy,3.0801603642809194,1200000,Chandigarh,Contract,Entry-Level,MSc in Data Science,2024-02-05,2024-06-09,Large,Yes,chaman.mahal@bhartiairtel.com
ICICI Bank,Business Analyst,"As a Business Analyst, you will act as a liaison between business stakeholders and technical teams, ensuring that business requirements are effectively translated into actionable solutions. Your role will involve gathering and analyzing business needs, creating detailed documentation, and developing strategies to improve processes and drive business growth.

    You will be responsible for conducting in-depth analyses of business operations and identifying opportunities for improvement. This includes gathering requirements through interviews, surveys, and workshops, and creating comprehensive reports and dashboards that provide insights into business performance. You will work closely with stakeholders to understand their needs, develop functional specifications, and ensure that proposed solutions align with business objectives.

    Additionally, you will be involved in evaluating existing systems and processes to identify inefficiencies and recommend enhancements. Your role will require collaboration with development teams to ensure that technical solutions meet business requirements and deliver value. This may involve creating user stories, defining acceptance criteria, and participating in testing and validation processes.

    You will also play a key role in change management, helping to communicate and implement process improvements and new systems within the organization. This includes developing training materials, facilitating workshops, and providing support to end-users as they adapt to new tools and processes.

    Strong analytical skills, attention to detail, and the ability to communicate complex concepts in a clear and concise manner will be essential for success in this role. Proficiency in tools such as Microsoft Excel, Power BI, or Tableau for data analysis and visualization, as well as experience with project management methodologies, will be valuable assets in your role as a Business Analyst.

    By leveraging your expertise, you will contribute to the organization’s success by ensuring that business needs are met through effective solutions and continuous improvement of processes.","SQL, Business Intelligence, Reporting",Mid-Level,Priya Reddy,4.300109893574753,798000,Mumbai,Full-Time,Mid-Level,BTech in CS,2024-06-17,2024-05-14,Medium,Yes,rishi.sarkar@icicibank.com
Reliance Industries,Data Scientist,"As a Data Scientist, you will play a pivotal role in harnessing the power of data to drive business decisions and strategies. Your primary responsibility will be to analyze and interpret complex data sets, which involves using advanced statistical techniques, machine learning algorithms, and data mining methods to uncover actionable insights. You will work closely with various departments, including marketing, finance, and operations, to understand their data needs and deliver solutions that enhance decision-making processes.

    In this role, you will be expected to develop and deploy predictive models that forecast trends, behaviors, and outcomes. This includes feature engineering, model selection, and hyperparameter tuning to achieve optimal performance. Your analytical skills will be critical in identifying patterns and correlations within large data sets, which will inform strategic business initiatives and operational improvements.

    Additionally, you will create comprehensive reports and visualizations to communicate your findings to stakeholders in a clear and compelling manner. This involves translating complex technical concepts into actionable business recommendations and presenting your insights in a way that is understandable and relevant to non-technical audiences. Collaboration with data engineers and IT teams will also be part of your responsibilities to ensure the seamless integration of data systems and tools.

    You will be working with a variety of data sources and technologies, including SQL databases, big data platforms (such as Hadoop or Spark), and programming languages like Python or R. A strong understanding of statistical analysis, data wrangling, and machine learning techniques is essential for success in this role. Moreover, staying up-to-date with industry trends and advancements in data science will be crucial in continuously improving your skills and delivering high-quality results.

    Your role as a Data Scientist will require strong problem-solving abilities, critical thinking, and a passion for working with data to drive business success. By leveraging your expertise, you will contribute significantly to the organization's data-driven strategy and overall growth.","Machine Learning, Python, SQL",Senior,Pooja Reddy,4.396899661997211,765000,Kolkata,Contract,Senior,MSc in Data Science,2024-06-13,2024-05-20,Large,No,wriddhish.madan@relianceindustries.com
Bharti Airtel,Data Scientist,"As a Data Scientist, you will play a pivotal role in harnessing the power of data to drive business decisions and strategies. Your primary responsibility will be to analyze and interpret complex data sets, which involves using advanced statistical techniques, machine learning algorithms, and data mining methods to uncover actionable insights. You will work closely with various departments, including marketing, finance, and operations, to understand their data needs and deliver solutions that enhance decision-making processes.

    In this role, you will be expected to develop and deploy predictive models that forecast trends, behaviors, and outcomes. This includes feature engineering, model selection, and hyperparameter tuning to achieve optimal performance. Your analytical skills will be critical in identifying patterns and correlations within large data sets, which will inform strategic business initiatives and operational improvements.

    Additionally, you will create comprehensive reports and visualizations to communicate your findings to stakeholders in a clear and compelling manner. This involves translating complex technical concepts into actionable business recommendations and presenting your insights in a way that is understandable and relevant to non-technical audiences. Collaboration with data engineers and IT teams will also be part of your responsibilities to ensure the seamless integration of data systems and tools.

    You will be working with a variety of data sources and technologies, including SQL databases, big data platforms (such as Hadoop or Spark), and programming languages like Python or R. A strong understanding of statistical analysis, data wrangling, and machine learning techniques is essential for success in this role. Moreover, staying up-to-date with industry trends and advancements in data science will be crucial in continuously improving your skills and delivering high-quality results.

    Your role as a Data Scientist will require strong problem-solving abilities, critical thinking, and a passion for working with data to drive business success. By leveraging your expertise, you will contribute significantly to the organization's data-driven strategy and overall growth.","Machine Learning, Statistics, SQL, Data Visualization, Python",Entry-Level,Ravi Patel,3.4510592740574504,1020000,Bengaluru,Part-Time,Entry-Level,BTech in IT,2024-04-25,2024-05-06,Medium,No,daksh.divan@bhartiairtel.com
Adani Group,Network Engineer,"As a Network Engineer, you will be responsible for designing, implementing, and managing network infrastructure to ensure reliable and secure connectivity across the organization. Your role involves configuring and maintaining network hardware, such as routers, switches, and firewalls, and ensuring that network systems operate efficiently and securely.

    You will work on designing network architectures, including local area networks (LANs), wide area networks (WANs), and virtual private networks (VPNs), to support organizational operations and connectivity needs. Your responsibilities will also include monitoring network performance, identifying and resolving connectivity issues, and implementing network security measures to protect against cyber threats.

    Additionally, you will collaborate with other IT professionals to integrate network systems with existing infrastructure, support network-related projects, and ensure that network solutions align with business requirements. You will also be involved in planning and executing network upgrades, migrations, and expansions to accommodate growing organizational needs.

    Your role will require strong technical skills in networking protocols, such as TCP/IP, and experience with network management tools and technologies. Familiarity with network security best practices, as well as certification in networking technologies (such as Cisco CCNA or CompTIA Network+), will be valuable assets in this role.

    By ensuring the reliability, security, and performance of network infrastructure, you will play a crucial role in supporting the organization’s connectivity and communication needs and enabling efficient and secure network operations.","Networking, Routing, Cisco",Entry-Level,Amitabh Bachchan,4.871134079648148,924000,Delhi,Full-Time,Entry-Level,MSc in Data Science,2024-01-30,2024-07-23,Medium,Yes,triya.chaudhry@adanigroup.com
